ticker,name,type,image_url,,,,,,,,,
YUM,Yum! Brands Inc.,stock,,,,,,,,,,
AJG,Arthur J. Gallagher & Co.,stock,,,,,,,,,,
CTAS,Cintas Corporation,stock,,,,,,,,,,
IDXX,IDEXX Laboratories Inc.,stock,,,,,,,,,,
BKR,Baker Hughes Company Class A,stock,,,,,,,,,,
OTIS,Otis Worldwide Corporation,stock,,,,,,,,,,
HES,Hess Corporation,stock,,,,,,,,,,
DXCM,DexCom Inc.,stock,,,,,,,,,,
ES,Eversource Energy,stock,,,,,,,,,,
TT,Trane Technologies plc,stock,,,,,,,,,,
TWTR,Twitter Inc.,stock,,,,,,,,,,
HSY,Hershey Company,stock,,,,,,,,,,
DFS,Discover Financial Services,stock,,,,,,,,,,
FAST,Fastenal Company,stock,,,,,,,,,,
WBA,Walgreens Boots Alliance Inc,stock,,,,,,,,,,
BIIB,Biogen Inc.,stock,,,,,,,,,,
MTB,M&T Bank Corporation,stock,,,,,,,,,,
TDG,TransDigm Group Incorporated,stock,,,,,,,,,,
RMD,ResMed Inc.,stock,,,,,,,,,,
DLTR,Dollar Tree Inc.,stock,,,,,,,,,,
AMP,Ameriprise Financial Inc.,stock,,,,,,,,,,
MTD,Mettler-Toledo International Inc.,stock,,,,,,,,,,
LYB,LyondellBasell Industries NV,stock,,,,,,,,,,
PPG,PPG Industries Inc.,stock,,,,,,,,,,
CMI,Cummins Inc.,stock,,,,,,,,,,
OKE,ONEOK Inc.,stock,,,,,,,,,,
WY,Weyerhaeuser Company,stock,,,,,,,,,,
AVB,AvalonBay Communities Inc.,stock,,,,,,,,,,
TROW,T. Rowe Price Group,stock,,,,,,,,,,
EBAY,eBay Inc.,stock,,,,,,,,,,
CERN,Cerner Corporation,stock,,,,,,,,,,
PCAR,PACCAR Inc,stock,,,,,,,,,,
ALB,Albemarle Corporation,stock,,,,,,,,,,
VRSK,Verisk Analytics Inc,stock,,,,,,,,,,
KHC,Kraft Heinz Company,stock,,,,,,,,,,
RSG,Republic Services Inc.,stock,,,,,,,,,,
AME,AMETEK Inc.,stock,,,,,,,,,,
CBRE,CBRE Group Inc. Class A,stock,,,,,,,,,,
AWK,American Water Works Company Inc.,stock,,,,,,,,,,
FRC,First Republic Bank,stock,,,,,,,,,,
ROST,Ross Stores Inc.,stock,,,,,,,,,,
SIVB,SVB Financial Group,stock,,,,,,,,,,
KEYS,Keysight Technologies Inc,stock,,,,,,,,,,
APTV,Aptiv PLC,stock,,,,,,,,,,
LUV,Southwest Airlines Co.,stock,,,,,,,,,,
EQR,Equity Residential,stock,,,,,,,,,,
TSN,Tyson Foods Inc. Class A,stock,,,,,,,,,,
EIX,Edison International,stock,,,,,,,,,,
DTE,DTE Energy Company,stock,,,,,,,,,,
CTRA,Coterra Energy Inc.,stock,,,,,,,,,,
GLW,Corning Inc,stock,,,,,,,,,,
DAL,Delta Air Lines Inc.,stock,,,,,,,,,,
STT,State Street Corporation,stock,,,,,,,,,,
ZBH,Zimmer Biomet Holdings Inc.,stock,,,,,,,,,,
FITB,Fifth Third Bancorp,stock,,,,,,,,,,
WTW,Willis Towers Watson Public Limited Company,stock,,,,,,,,,,
FE,FirstEnergy Corp.,stock,,,,,,,,,,
CPRT,Copart Inc.,stock,,,,,,,,,,
AEE,Ameren Corporation,stock,,,,,,,,,,
EFX,Equifax Inc.,stock,,,,,,,,,,
ETR,Entergy Corporation,stock,,,,,,,,,,
ARE,Alexandria Real Estate Equities Inc.,stock,,,,,,,,,,
LH,Laboratory Corporation of America Holdings,stock,,,,,,,,,,
ROK,Rockwell Automation Inc.,stock,,,,,,,,,,
ANET,Arista Networks Inc.,stock,,,,,,,,,,
EXR,Extra Space Storage Inc.,stock,,,,,,,,,,
ODFL,Old Dominion Freight Line Inc.,stock,,,,,,,,,,
STE,STERIS Plc,stock,,,,,,,,,,
ABC,AmerisourceBergen Corporation,stock,,,,,,,,,,
ENPH,Enphase Energy Inc.,stock,,,,,,,,,,
VTR,Ventas Inc.,stock,,,,,,,,,,
BALL,Ball Corporation,stock,,,,,,,,,,
MKC,McCormick & Company Incorporated,stock,,,,,,,,,,
HIG,Hartford Financial Services Group Inc.,stock,,,,,,,,,,
DHI,D.R. Horton Inc.,stock,,,,,,,,,,
WST,West Pharmaceutical Services Inc.,stock,,,,,,,,,,
PPL,PPL Corporation,stock,,,,,,,,,,
FANG,Diamondback Energy Inc.,stock,,,,,,,,,,
ANSS,ANSYS Inc.,stock,,,,,,,,,,
CDW,CDW Corp.,stock,,,,,,,,,,
MTCH,Match Group Inc.,stock,,,,,,,,,,
CHD,Church & Dwight Co. Inc.,stock,,,,,,,,,,
NTRS,Northern Trust Corporation,stock,,,,,,,,,,
MOS,Mosaic Company,stock,,,,,,,,,,
MRO,Marathon Oil Corporation,stock,,,,,,,,,,
VMC,Vulcan Materials Company,stock,,,,,,,,,,
FTV,Fortive Corp.,stock,,,,,,,,,,
IT,Gartner Inc.,stock,,,,,,,,,,
CF,CF Industries Holdings Inc.,stock,,,,,,,,,,
TSCO,Tractor Supply Company,stock,,,,,,,,,,
MLM,Martin Marietta Materials Inc.,stock,,,,,,,,,,
GWW,W.W. Grainger Inc.,stock,,,,,,,,,,
ALGN,Align Technology Inc.,stock,,,,,,,,,,
MAA,Mid-America Apartment Communities Inc.,stock,,,,,,,,,,
CMS,CMS Energy Corporation,stock,,,,,,,,,,
AMCR,Amcor PLC,stock,,,,,,,,,,
PARA,Paramount Global Class B,stock,,,,,,,,,,
HOLX,Hologic Inc.,stock,,,,,,,,,,
WAT,Waters Corporation,stock,,,,,,,,,,
LEN,Lennar Corporation Class A,stock,,,,,,,,,,
URI,United Rentals Inc.,stock,,,,,,,,,,
DRE,Duke Realty Corporation,stock,,,,,,,,,,
CNP,CenterPoint Energy Inc.,stock,,,,,,,,,,
RF,Regions Financial Corporation,stock,,,,,,,,,,
HBAN,Huntington Bancshares Incorporated,stock,,,,,,,,,,
SWK,Stanley Black & Decker Inc.,stock,,,,,,,,,,
DOV,Dover Corporation,stock,,,,,,,,,,
FLT,FLEETCOR Technologies Inc.,stock,,,,,,,,,,
EXPE,Expedia Group Inc.,stock,,,,,,,,,,
ULTA,Ulta Beauty Inc,stock,,,,,,,,,,
CFG,Citizens Financial Group Inc.,stock,,,,,,,,,,
IP,International Paper Company,stock,,,,,,,,,,
PKI,PerkinElmer Inc.,stock,,,,,,,,,,
HPE,Hewlett Packard Enterprise Co.,stock,,,,,,,,,,
CEG,Constellation Energy Corporation,stock,,,,,,,,,,
GPC,Genuine Parts Company,stock,,,,,,,,,,
TTWO,Take-Two Interactive Software Inc.,stock,,,,,,,,,,
ESS,Essex Property Trust Inc.,stock,,,,,,,,,,
CINF,Cincinnati Financial Corporation,stock,,,,,,,,,,
EPAM,EPAM Systems Inc.,stock,,,,,,,,,,
IR,Ingersoll Rand Inc.,stock,,,,,,,,,,
MOH,Molina Healthcare Inc.,stock,,,,,,,,,,
MPWR,Monolithic Power Systems Inc.,stock,,,,,,,,,,
TDY,Teledyne Technologies Incorporated,stock,,,,,,,,,,
CTLT,Catalent Inc,stock,,,,,,,,,,
EXPD,Expeditors International of Washington Inc.,stock,,,,,,,,,,
WDC,Western Digital Corporation,stock,,,,,,,,,,
J,Jacobs Engineering Group Inc.,stock,,,,,,,,,,
ZBRA,Zebra Technologies Corporation Class A,stock,,,,,,,,,,
K,Kellogg Company,stock,,,,,,,,,,
KEY,KeyCorp,stock,,,,,,,,,,
RJF,Raymond James Financial Inc.,stock,,,,,,,,,,
SWKS,Skyworks Solutions Inc.,stock,,,,,,,,,,
CLX,Clorox Company,stock,,,,,,,,,,
SYF,Synchrony Financial,stock,,,,,,,,,,
NDAQ,Nasdaq Inc.,stock,,,,,,,,,,
PFG,Principal Financial Group Inc.,stock,,,,,,,,,,
DGX,Quest Diagnostics Incorporated,stock,,,,,,,,,,
COO,Cooper Companies Inc.,stock,,,,,,,,,,
TER,Teradyne Inc.,stock,,,,,,,,,,
WAB,Westinghouse Air Brake Technologies Corporation,stock,,,,,,,,,,
CE,Celanese Corporation,stock,,,,,,,,,,
TRMB,Trimble Inc.,stock,,,,,,,,,,
POOL,Pool Corporation,stock,,,,,,,,,,
PWR,Quanta Services Inc.,stock,,,,,,,,,,
BR,Broadridge Financial Solutions Inc.,stock,,,,,,,,,,
VRSN,VeriSign Inc.,stock,,,,,,,,,,
STX,Seagate Technology Holdings PLC,stock,,,,,,,,,,
AKAM,Akamai Technologies Inc.,stock,,,,,,,,,,
PEAK,Healthpeak Properties Inc.,stock,,,,,,,,,,
BBY,Best Buy Co. Inc.,stock,,,,,,,,,,
OMC,Omnicom Group Inc,stock,,,,,,,,,,
CAH,Cardinal Health Inc.,stock,,,,,,,,,,
EVRG,Evergy Inc.,stock,,,,,,,,,,
FMC,FMC Corporation,stock,,,,,,,,,,
VFC,V.F. Corporation,stock,,,,,,,,,,
CAG,Conagra Brands Inc.,stock,,,,,,,,,,
ATO,Atmos Energy Corporation,stock,,,,,,,,,,
APA,APA Corp.,stock,,,,,,,,,,
GRMN,Garmin Ltd.,stock,,,,,,,,,,
KMX,CarMax Inc.,stock,,,,,,,,,,
DRI,Darden Restaurants Inc.,stock,,,,,,,,,,
BXP,Boston Properties Inc.,stock,,,,,,,,,,
NTAP,NetApp Inc.,stock,,,,,,,,,,
XYL,Xylem Inc.,stock,,,,,,,,,,
LNT,Alliant Energy Corp,stock,,,,,,,,,,
IRM,Iron Mountain Inc.,stock,,,,,,,,,,
CPT,Camden Property Trust,stock,,,,,,,,,,
VTRS,Viatris Inc.,stock,,,,,,,,,,
TECH,Bio-Techne Corporation,stock,,,,,,,,,,
PKG,Packaging Corporation of America,stock,,,,,,,,,,
LDOS,Leidos Holdings Inc.,stock,,,,,,,,,,
NLOK,NortonLifeLock Inc.,stock,,,,,,,,,,
IEX,IDEX Corporation,stock,,,,,,,,,,
INCY,Incyte Corporation,stock,,,,,,,,,,
UAL,United Airlines Holdings Inc.,stock,,,,,,,,,,
UDR,UDR Inc.,stock,,,,,,,,,,
WRB,W. R. Berkley Corporation,stock,,,,,,,,,,
TYL,Tyler Technologies Inc.,stock,,,,,,,,,,
NVR,NVR Inc.,stock,,,,,,,,,,
GNRC,Generac Holdings Inc.,stock,,,,,,,,,,
JBHT,J.B. Hunt Transport Services Inc.,stock,,,,,,,,,,
FDS,FactSet Research Systems Inc.,stock,,,,,,,,,,
TXT,Textron Inc.,stock,,,,,,,,,,
AES,AES Corporation,stock,,,,,,,,,,
HRL,Hormel Foods Corporation,stock,,,,,,,,,,
AVY,Avery Dennison Corporation,stock,,,,,,,,,,
KIM,Kimco Realty Corporation,stock,,,,,,,,,,
SJM,J.M. Smucker Company,stock,,,,,,,,,,
SEDG,SolarEdge Technologies Inc.,stock,,,,,,,,,,
CHRW,C.H. Robinson Worldwide Inc.,stock,,,,,,,,,,
TFX,Teleflex Incorporated,stock,,,,,,,,,,
PAYC,Paycom Software Inc.,stock,,,,,,,,,,
HST,Host Hotels & Resorts Inc.,stock,,,,,,,,,,
JKHY,Jack Henry & Associates Inc.,stock,,,,,,,,,,
EMN,Eastman Chemical Company,stock,,,,,,,,,,
LKQ,LKQ Corporation,stock,,,,,,,,,,
MAS,Masco Corporation,stock,,,,,,,,,,
MGM,MGM Resorts International,stock,,,,,,,,,,
BRO,Brown & Brown Inc.,stock,,,,,,,,,,
HWM,Howmet Aerospace Inc.,stock,,,,,,,,,,
DPZ,Domino's Pizza Inc.,stock,,,,,,,,,,
RCL,Royal Caribbean Group,stock,,,,,,,,,,
L,Loews Corporation,stock,,,,,,,,,,
CTXS,Citrix Systems Inc.,stock,,,,,,,,,,
LYV,Live Nation Entertainment Inc.,stock,,,,,,,,,,
IPG,Interpublic Group of Companies Inc.,stock,,,,,,,,,,
SBNY,Signature Bank,stock,,,,,,,,,,
PTC,PTC Inc.,stock,,,,,,,,,,
QRVO,Qorvo Inc.,stock,,,,,,,,,,
NI,NiSource Inc,stock,,,,,,,,,,
WRK,WestRock Company,stock,,,,,,,,,,
CRL,Charles River Laboratories International Inc.,stock,,,,,,,,,,
HSIC,Henry Schein Inc.,stock,,,,,,,,,,
LVS,Las Vegas Sands Corp.,stock,,,,,,,,,,
BF.B,Brown-Forman Corporation Class B,stock,,,,,,,,,,
CBOE,Cboe Global Markets Inc,stock,,,,,,,,,,
AAP,Advance Auto Parts Inc.,stock,,,,,,,,,,
SNA,Snap-on Incorporated,stock,,,,,,,,,,
NRG,NRG Energy Inc.,stock,,,,,,,,,,
BIO,Bio-Rad Laboratories Inc. Class A,stock,,,,,,,,,,
NDSN,Nordson Corporation,stock,,,,,,,,,,
HAS,Hasbro Inc.,stock,,,,,,,,,,
PHM,PulteGroup Inc.,stock,,,,,,,,,,
RE,Everest Re Group Ltd.,stock,,,,,,,,,,
CZR,Caesars Entertainment Inc,stock,,,,,,,,,,
FOXA,Fox Corporation Class A,stock,,,,,,,,,,
ABMD,ABIOMED Inc.,stock,,,,,,,,,,
MKTX,MarketAxess Holdings Inc.,stock,,,,,,,,,,
AAL,American Airlines Group Inc.,stock,,,,,,,,,,
CCL,Carnival Corporation,stock,,,,,,,,,,
WHR,Whirlpool Corporation,stock,,,,,,,,,,
LUMN,Lumen Technologies Inc.,stock,,,,,,,,,,
BBWI,Bath & Body Works Inc.,stock,,,,,,,,,,
AIZ,Assurant Inc.,stock,,,,,,,,,,
ETSY,Etsy Inc.,stock,,,,,,,,,,
RHI,Robert Half International Inc.,stock,,,,,,,,,,
ALLE,Allegion PLC,stock,,,,,,,,,,
CMA,Comerica Incorporated,stock,,,,,,,,,,
TAP,Molson Coors Beverage Company Class B,stock,,,,,,,,,,
REG,Regency Centers Corporation,stock,,,,,,,,,,
OGN,Organon & Co.,stock,,,,,,,,,,
CPB,Campbell Soup Company,stock,,,,,,,,,,
FFIV,F5 Inc.,stock,,,,,,,,,,
JNPR,Juniper Networks Inc.,stock,,,,,,,,,,
FBHS,Fortune Brands Home & Security Inc.,stock,,,,,,,,,,
NLSN,Nielsen Holdings Plc,stock,,,,,,,,,,
BWA,BorgWarner Inc.,stock,,,,,,,,,,
LW,Lamb Weston Holdings Inc.,stock,,,,,,,,,,
SEE,Sealed Air Corporation,stock,,,,,,,,,,
LNC,Lincoln National Corporation,stock,,,,,,,,,,
UHS,Universal Health Services Inc. Class B,stock,,,,,,,,,,
GL,Globe Life Inc.,stock,,,,,,,,,,
PNW,Pinnacle West Capital Corporation,stock,,,,,,,,,,
TPR,Tapestry Inc.,stock,,,,,,,,,,
XRAY,DENTSPLY SIRONA Inc.,stock,,,,,,,,,,
PNR,Pentair plc,stock,,,,,,,,,,
HII,Huntington Ingalls Industries Inc.,stock,,,,,,,,,,
ZION,Zions Bancorporation N.A.,stock,,,,,,,,,,
ROL,Rollins Inc.,stock,,,,,,,,,,
AOS,A. O. Smith Corporation,stock,,,,,,,,,,
FRT,Federal Realty Investment Trust,stock,,,,,,,,,,
CDAY,Ceridian HCM Holding Inc.,stock,,,,,,,,,,
MHK,Mohawk Industries Inc.,stock,,,,,,,,,,
DXC,DXC Technology Co.,stock,,,,,,,,,,
NWL,Newell Brands Inc,stock,,,,,,,,,,
BEN,Franklin Resources Inc.,stock,,,,,,,,,,
